subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
IvT 	 dot-jump 	 False 	 0 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 1.50218272469 	 -5.60622225078 	 19.2326941356 	 14.4527486263 	 False 	 13 	 16 	16 	10 	6 	11 	24 	13 	9 	2 	5 	1 	17 	4 	19 	21 	20 	18 	14 	12 	15 	22 	23 	8 	3 	7 	0
IvT 	 dot-jump 	 False 	 1 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 4.10403952609 	 -4.10403952609 	 2.70989036744 	 -5.11868180516 	 False 	 9 	 8 	22 	9 	8 	5 	2 	4 	24 	3 	16 	15 	10 	19 	12 	14 	18 	11 	21 	1 	23 	17 	7 	6 	20 	13 	0
IvT 	 dot-jump 	 False 	 2 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 0.0 	 5.80398835832 	 3.61318715658 	 -4.25302238223 	 False 	 19 	 9 	23 	12 	15 	24 	3 	8 	18 	6 	14 	1 	17 	22 	13 	9 	4 	7 	20 	5 	10 	16 	2 	21 	11 	19 	0
IvT 	 dot-jump 	 False 	 3 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 4.10403952609 	 -4.10403952609 	 2.78516509987 	 -5.11868180516 	 False 	 14 	 12 	6 	18 	17 	11 	7 	13 	10 	24 	21 	3 	12 	23 	16 	22 	15 	2 	9 	1 	20 	8 	14 	5 	4 	19 	0
IvT 	 dot-jump 	 False 	 4 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -1.50218272469 	 -5.60622225078 	 -3.68846188901 	 -4.36593448087 	 False 	 22 	 15 	6 	5 	20 	22 	8 	13 	7 	24 	3 	2 	14 	16 	23 	11 	1 	12 	17 	18 	4 	19 	21 	9 	10 	15 	0
IvT 	 dot-jump 	 False 	 5 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 5.80398835832 	 0.33873629593 	 -6.05961596052 	 False 	 11 	 10 	10 	2 	7 	3 	22 	17 	4 	5 	8 	12 	1 	13 	11 	18 	14 	9 	23 	6 	15 	21 	16 	19 	24 	20 	0
IvT 	 dot-jump 	 False 	 6 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10247291737 	 -4.36593448087 	 True 	 14 	 14 	12 	24 	13 	10 	21 	9 	15 	6 	14 	18 	7 	8 	2 	20 	16 	3 	17 	19 	22 	11 	1 	5 	23 	4 	0
IvT 	 dot-jump 	 False 	 7 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 5.80398835832 	 0.0 	 6.21016542538 	 1.39258254993 	 False 	 8 	 11 	4 	21 	9 	1 	12 	10 	5 	3 	20 	22 	16 	19 	2 	23 	6 	14 	18 	11 	17 	15 	8 	7 	13 	24 	0
IvT 	 dot-jump 	 False 	 8 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -4.10403952609 	 -4.10403952609 	 4.74230814302 	 4.29065974844 	 False 	 10 	 13 	1 	13 	14 	3 	21 	8 	9 	19 	15 	6 	22 	12 	20 	10 	23 	2 	4 	11 	17 	16 	5 	7 	18 	24 	0
IvT 	 dot-jump 	 False 	 9 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.8604398323 	 -4.89285760787 	 True 	 8 	 8 	13 	4 	24 	18 	22 	3 	21 	6 	15 	10 	2 	1 	7 	20 	8 	14 	17 	16 	9 	5 	11 	23 	12 	19 	0
IvT 	 dot-jump 	 False 	 10 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.91950567694 	 -5.68324229838 	 True 	 13 	 13 	8 	3 	16 	19 	13 	6 	23 	5 	17 	10 	14 	11 	21 	12 	9 	22 	4 	7 	20 	24 	2 	18 	1 	15 	0
IvT 	 dot-jump 	 False 	 11 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 -5.02640136157 	 -2.90199417916 	 1.84423094451 	 -5.34450600245 	 False 	 15 	 16 	5 	18 	13 	10 	12 	3 	20 	1 	17 	24 	15 	23 	7 	8 	11 	14 	9 	21 	2 	22 	4 	19 	6 	16 	0
IvT 	 dot-jump 	 False 	 12 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.64560493216 	 1.80659357829 	 True 	 10 	 10 	17 	8 	12 	10 	5 	19 	21 	23 	22 	15 	20 	9 	4 	1 	14 	3 	24 	13 	16 	2 	18 	6 	7 	11 	0
IvT 	 dot-jump 	 False 	 13 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.73131884586 	 5.38214336866 	 True 	 15 	 15 	13 	15 	23 	22 	10 	19 	14 	18 	6 	7 	2 	11 	3 	16 	5 	24 	8 	1 	21 	4 	9 	20 	17 	12 	0
IvT 	 dot-jump 	 False 	 14 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 -5.02640136157 	 -2.90199417916 	 3.80137398766 	 -4.25302238223 	 False 	 18 	 12 	21 	5 	3 	24 	4 	8 	22 	19 	23 	17 	6 	14 	9 	20 	15 	11 	1 	2 	16 	7 	13 	18 	10 	12 	0
IvT 	 dot-jump 	 False 	 15 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 5.80398835832 	 0.0 	 -4.10247291737 	 4.21538501602 	 False 	 12 	 11 	13 	15 	10 	22 	21 	6 	12 	7 	17 	8 	2 	19 	4 	11 	5 	9 	24 	3 	23 	20 	14 	1 	16 	18 	0
IvT 	 dot-jump 	 False 	 16 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 -2.90199417916 	 -5.02640136157 	 5.45741810109 	 3.31208822687 	 False 	 11 	 14 	7 	6 	16 	15 	1 	14 	12 	23 	8 	13 	22 	21 	2 	4 	11 	5 	20 	24 	17 	3 	18 	10 	9 	19 	0
IvT 	 dot-jump 	 False 	 17 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 -5.02640136157 	 2.90199417916 	 2.70989036744 	 -5.19395653759 	 False 	 11 	 9 	11 	7 	24 	2 	13 	9 	17 	14 	10 	5 	18 	15 	6 	20 	3 	4 	8 	12 	21 	22 	16 	23 	1 	19 	0
IvT 	 dot-jump 	 False 	 18 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 9 	 -5.02640136157 	 -2.90199417916 	 -5.80398835832 	 0.0 	 -4.93049497409 	 -3.27445086065 	 False 	 11 	 9 	15 	20 	1 	4 	14 	2 	12 	22 	5 	7 	24 	9 	18 	8 	21 	6 	11 	19 	16 	23 	3 	17 	10 	13 	0
IvT 	 dot-jump 	 False 	 19 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 5.60622225078 	 1.50218272469 	 6.09725332674 	 -0.112912098643 	 False 	 1 	 11 	13 	19 	10 	9 	18 	4 	17 	12 	8 	3 	21 	20 	7 	6 	1 	14 	24 	2 	5 	22 	15 	23 	11 	16 	0
IvT 	 dot-jump 	 False 	 20 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -5.60622225078 	 1.50218272469 	 3.61318715658 	 4.02719818494 	 False 	 9 	 13 	16 	3 	13 	20 	9 	10 	17 	1 	12 	22 	5 	23 	11 	6 	14 	4 	15 	18 	7 	21 	24 	8 	19 	2 	0
IvT 	 dot-jump 	 False 	 21 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 1.50218272469 	 -5.60622225078 	 5.41978073488 	 0.940934155361 	 False 	 2 	 10 	6 	1 	20 	22 	17 	18 	19 	7 	10 	8 	14 	12 	11 	9 	21 	24 	5 	13 	16 	3 	23 	15 	4 	2 	0
IvT 	 dot-jump 	 False 	 22 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 1.50218272469 	 5.60622225078 	 3.80137398766 	 -4.51648394573 	 False 	 5 	 16 	14 	1 	9 	13 	11 	16 	4 	19 	6 	8 	3 	17 	15 	2 	18 	10 	24 	5 	21 	20 	12 	23 	22 	7 	0
IvT 	 dot-jump 	 False 	 23 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 5.60622225078 	 -1.50218272469 	 -3.98956081873 	 3.57554979037 	 False 	 19 	 15 	13 	19 	9 	6 	20 	10 	12 	22 	21 	16 	17 	3 	24 	2 	7 	18 	15 	1 	23 	4 	14 	5 	8 	11 	0
IvT 	 dot-jump 	 False 	 24 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 0.301098929715 	 5.45741810109 	 True 	 14 	 14 	22 	7 	11 	17 	14 	24 	8 	4 	6 	19 	9 	21 	12 	3 	1 	15 	13 	16 	18 	20 	23 	10 	2 	5 	0
IvT 	 dot-jump 	 False 	 25 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 5.60622225078 	 1.50218272469 	 -3.87664872009 	 -4.59175867816 	 False 	 20 	 12 	11 	7 	24 	16 	1 	14 	19 	22 	2 	4 	15 	18 	20 	12 	23 	3 	21 	13 	5 	8 	10 	6 	17 	9 	0
IvT 	 dot-jump 	 False 	 26 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 2.90199417916 	 5.02640136157 	 4.25302238223 	 4.06483555116 	 False 	 20 	 8 	13 	24 	14 	11 	9 	21 	2 	7 	23 	6 	3 	4 	15 	16 	17 	18 	8 	10 	12 	20 	22 	1 	5 	19 	0
IvT 	 dot-jump 	 False 	 27 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -2.90199417916 	 -5.02640136157 	 3.61318715658 	 3.80137398766 	 False 	 15 	 16 	6 	21 	16 	19 	12 	5 	18 	1 	2 	15 	10 	20 	14 	8 	17 	22 	11 	7 	4 	23 	9 	24 	13 	3 	0
IvT 	 dot-jump 	 False 	 28 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 2.90199417916 	 5.02640136157 	 -5.49505546731 	 1.43021991615 	 False 	 19 	 11 	16 	17 	20 	7 	21 	1 	3 	12 	14 	11 	4 	23 	18 	22 	19 	5 	13 	9 	10 	6 	15 	24 	2 	8 	0
IvT 	 dot-jump 	 False 	 29 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 1.50218272469 	 5.60622225078 	 6.05961596052 	 -0.414011028359 	 False 	 7 	 10 	17 	9 	13 	10 	21 	4 	5 	19 	8 	2 	24 	11 	6 	20 	22 	16 	15 	12 	23 	1 	18 	3 	14 	7 	0
IvT 	 dot-jump 	 False 	 30 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 5.02640136157 	 2.90199417916 	 -2.97335193094 	 -5.11868180516 	 False 	 6 	 8 	20 	15 	7 	12 	2 	16 	11 	4 	21 	22 	3 	13 	24 	14 	1 	23 	5 	8 	6 	19 	10 	18 	9 	17 	0
IvT 	 dot-jump 	 False 	 31 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 5.80398835832 	 0.0 	 4.55412131195 	 -4.36593448087 	 False 	 14 	 15 	5 	14 	4 	24 	17 	15 	18 	12 	3 	1 	22 	11 	10 	20 	16 	19 	2 	23 	21 	7 	8 	13 	9 	6 	0
IvT 	 dot-jump 	 False 	 32 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 -3.95192345251 	 4.10247291737 	 False 	 2 	 9 	12 	7 	4 	1 	21 	17 	13 	8 	16 	22 	3 	20 	18 	10 	15 	11 	5 	23 	14 	2 	24 	9 	19 	6 	0
IvT 	 dot-jump 	 False 	 33 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.27967045129 	 -5.53269283352 	 True 	 14 	 14 	5 	13 	9 	24 	22 	19 	16 	1 	6 	20 	21 	23 	11 	8 	12 	17 	2 	18 	3 	15 	4 	7 	14 	10 	0
IvT 	 dot-jump 	 False 	 34 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -5.80398835832 	 0.0 	 4.62939604437 	 4.40357184709 	 False 	 10 	 13 	15 	20 	10 	23 	24 	11 	8 	21 	9 	19 	22 	13 	6 	7 	1 	16 	17 	5 	14 	2 	12 	3 	18 	4 	0
