subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
KR 	 dot-jump 	 False 	 0 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 -4.10403952609 	 -4.10403952609 	 3.80137398766 	 13.1354408088 	 False 	 5 	 16 	4 	21 	12 	11 	20 	24 	13 	17 	7 	5 	22 	15 	18 	16 	6 	9 	10 	19 	3 	14 	23 	8 	1 	2 	0
KR 	 dot-jump 	 False 	 1 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 5.02640136157 	 -2.90199417916 	 -7.71566007396 	 8.16730846853 	 False 	 15 	 14 	9 	23 	2 	19 	11 	1 	14 	16 	6 	15 	18 	22 	7 	5 	17 	4 	12 	21 	13 	10 	24 	20 	8 	3 	0
KR 	 dot-jump 	 False 	 2 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 1.50218272469 	 5.60622225078 	 -5.08104443895 	 3.08626402958 	 False 	 7 	 10 	1 	17 	13 	20 	4 	19 	10 	5 	15 	7 	24 	16 	8 	23 	9 	6 	3 	12 	11 	22 	18 	14 	2 	21 	0
KR 	 dot-jump 	 False 	 3 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 0.0 	 5.80398835832 	 5.2315939038 	 2.8604398323 	 False 	 18 	 15 	4 	17 	2 	5 	23 	9 	7 	12 	14 	11 	6 	15 	19 	16 	22 	1 	3 	24 	21 	13 	8 	20 	18 	10 	0
KR 	 dot-jump 	 False 	 4 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -5.80398835832 	 0.0 	 -4.40357184709 	 -3.72609925523 	 False 	 22 	 11 	23 	6 	13 	20 	16 	9 	2 	15 	19 	21 	17 	7 	8 	3 	18 	14 	22 	1 	4 	11 	5 	24 	10 	12 	0
KR 	 dot-jump 	 False 	 5 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 2.90199417916 	 5.02640136157 	 -5.49505546731 	 1.16675835265 	 False 	 23 	 8 	22 	24 	2 	20 	19 	21 	5 	4 	23 	7 	8 	11 	9 	18 	3 	16 	13 	10 	12 	17 	15 	14 	1 	6 	0
KR 	 dot-jump 	 False 	 6 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -5.02640136157 	 2.90199417916 	 -3.98956081873 	 4.14011028359 	 False 	 11 	 9 	10 	6 	20 	2 	3 	15 	14 	9 	17 	5 	19 	4 	1 	24 	22 	16 	8 	13 	12 	21 	23 	18 	11 	7 	0
KR 	 dot-jump 	 False 	 7 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 0.0 	 -5.80398835832 	 -2.97335193094 	 -5.00576970652 	 False 	 4 	 13 	17 	5 	23 	18 	11 	14 	15 	19 	4 	6 	16 	9 	10 	13 	22 	12 	1 	24 	21 	7 	3 	8 	20 	2 	0
KR 	 dot-jump 	 False 	 8 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 -2.90199417916 	 5.02640136157 	 4.85522024166 	 3.1239013958 	 False 	 22 	 12 	23 	12 	16 	13 	19 	17 	22 	15 	11 	9 	20 	18 	3 	24 	10 	2 	8 	4 	7 	5 	6 	14 	21 	1 	0
KR 	 dot-jump 	 False 	 9 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -5.02640136157 	 2.90199417916 	 -4.06483555116 	 -4.10247291737 	 False 	 18 	 10 	24 	19 	20 	18 	22 	21 	11 	23 	4 	7 	5 	13 	6 	17 	15 	9 	16 	8 	10 	2 	14 	3 	12 	1 	0
